Exp_variance,cum_Exp_variance
0.29201502,0.29201502
0.14986637,0.4418814
0.13719499,0.5790764
0.05823184,0.63730824
0.056839313,0.6941475
0.047994163,0.74214166
0.039843183,0.78198487
0.03820091,0.8201858
0.035785936,0.8559717
0.035521332,0.891493
